tracking_id,order_date,delivery_date,carrier,origin_warehouse,destination_city,weight_kg,distance_km,status,vehicle_type,shipping_cost_eur,customer_name,phone,lat,lon,lead_time_days,co2_kg,risk_level
FR-931538,2025-07-13,2025-07-14,DB Schenker,Bordeaux Logistics Park,Rennes,2515.0,36.4,Livré,train,203.76,d0443b3d89fde63f,56fbd5a6588e37ab,48.22034,-1.59003,1.0,2.5633,AUCUN
FR-798168,2025-07-17,2025-07-24,GLS,Lyon Distribution Center,Rennes,4181.2,1084.7,Livré,gros_camion,584.51,b3ede2357f536e0a,332e6aa894647306,48.1616,-1.68465,7.0,952.423,FAIBLE
FR-415557,2025-07-01,,XPO Logistics,Paris-CDG Hub,Tours,37.6,1112.6,En attente,avion,305.62,232c9d11c882ea2c,fb62937e1b3ca183,47.3367,0.65469,,39.7421,AUCUN
FR-145002,2025-07-19,2025-07-26,GLS,Marseille Port Depot,Tours,1864.1,421.3,Livré,train,274.77,94f32f590e70c04a,49be847ee78cf141,47.36759,0.64516,7.0,21.9897,FAIBLE
FR-575774,2025-07-24,2025-08-05,XPO Logistics,Bordeaux Logistics Park,Dijon,954.1,310.4,Livré,gros_camion,299.77,ba4df4a50d5ef322,2ddfc5d4dd995574,47.28345,5.07031,12.0,62.1921,FAIBLE
FR-674736,2025-07-07,2025-07-19,Unknown,Paris-CDG Hub,Bordeaux,559.3,949.1,Livré,petit_camion,150.66,2bfcfe607c0a5f31,61870a67e4ef3ceb,44.76165,-0.63599,12.0,63.6998,FAIBLE
FR-672735,2025-07-02,2025-07-15,FedEx,Lyon Distribution Center,Bayonne,26.3,191.9,Livré,avion,167.32,232c9d11c882ea2c,e12eff86d960265e,43.50682,-1.47781,13.0,4.7946,FAIBLE
FR-746465,2025-07-20,,GLS,Marseille Port Depot,Ajaccio,41.1,865.0,En attente,fourgonnette,17.77,ddd94bb935d6fc90,6eea540f1e0bad92,41.95123,8.69786,,2.8441,AUCUN
FR-954016,2025-07-26,2025-07-31,Chronopost,Lyon Distribution Center,Lille,3.1,410.6,Livré,fourgonnette,7.83,6b16b395ec3a9551,49f20bb5359eca31,50.5991,3.09531,5.0,0.1018,AUCUN
FR-872042,2025-07-15,,DHL,Paris-CDG Hub,Orléans,7737.7,157.9,En transit,train,353.72,144818883fd1fd2e,12633523eb420811,47.93187,1.93416,,34.2099,MOYEN
FR-451005,2025-07-03,2025-07-06,GLS,Lyon Distribution Center,Lille,2448.3,981.8,Livré,gros_camion,435.11,46b06486d10dd744,3ddbea5fb32ef15d,50.56867,2.97663,3.0,504.7856,AUCUN
FR-192263,2025-07-19,2025-07-25,DHL,Marseille Port Depot,Angers,1384.9,954.9,Livré,gros_camion,395.07,57305694cae2b1d0,491f549634f16618,47.51981,-0.51271,6.0,277.7126,FAIBLE
FR-364480,2025-07-30,,UPS,Lyon Distribution Center,Caen,127.2,648.4,En transit,petit_camion,82.4,0915a7642195cf8a,4d12aa32649427eb,49.16153,-0.39833,,9.8972,MOYEN
FR-382753,2025-07-27,,DHL,Lyon Distribution Center,Dijon,17.6,226.1,En transit,fourgonnette,16.66,d0443b3d89fde63f,bdde30d7b195c2f6,47.3601,5.05213,,0.3183,MOYEN
FR-996209,2025-07-25,2025-08-06,Chronopost,Lyon Distribution Center,Pau,230.7,851.6,Livré,avion,372.56,3275c62b4a30ee93,fecd019f182d030b,43.27864,-0.39431,12.0,186.6409,FAIBLE
FR-278595,2025-07-22,,XPO Logistics,Marseille Port Depot,Toulouse,95.4,895.7,En attente,avion,272.31,588860b1c06a5a7a,5def749e085dba58,43.65729,1.43183,,81.1773,AUCUN
FR-632358,2025-07-18,2025-07-19,Chronopost,Paris-CDG Hub,Toulouse,423.8,508.5,Retardé,petit_camion,138.06,b5d62e25e9a7adb6,60aec8b1107ddf00,43.59126,1.38887,1.0,25.8603,ÉLEVÉ
FR-306524,2025-07-08,2025-07-21,XPO Logistics,Paris-CDG Hub,Toulouse,17.8,567.2,Livré,fourgonnette,15.58,64be089ea6398de1,07eac9fb0e4dbbf0,43.72619,1.54169,13.0,0.8077,FAIBLE
FR-897917,2025-07-06,2025-07-07,UPS,Marseille Port Depot,Calais,,776.4,Livré,gros_camion,372.53,176085ab92f665ad,890623e3129c488c,50.98738,1.80225,1.0,0.0,AUCUN
FR-549589,2025-07-25,,Kuehne+Nagel,Paris-CDG Hub,Nice,,1186.6,En transit,gros_camion,601.65,bebe00cf88981ebb,3c2c3050dc837886,43.73986,7.24652,,0.0,MOYEN
FR-354726,2025-07-01,2025-07-14,Kuehne+Nagel,Lyon Distribution Center,Rennes,4549.2,982.8,Retardé,gros_camion,546.08,0a09e9b5dbb0d8ab,ed99fbbccb0cee55,48.05328,-1.59006,13.0,938.9003,ÉLEVÉ
FR-492417,2025-07-21,2025-07-31,XPO Logistics,Bordeaux Logistics Park,Lyon,44.8,961.8,Livré,fourgonnette,17.02,577bd3cc79f49864,93068dcc2c4e5154,45.69659,4.87286,10.0,3.4471,FAIBLE
FR-413837,2025-07-04,2025-07-17,DHL,Marseille Port Depot,Rouen,3024.6,979.9,Livré,gros_camion,477.97,abb3d464b81216db,3f2ea5028388c3d7,49.39826,1.05442,13.0,622.3992,FAIBLE
FR-851883,2025-07-13,2025-07-23,Chronopost,Paris-CDG Hub,Nantes,6281.8,512.2,Livré,train,327.87,ccd16f4072984dcc,06efa89f40facf00,47.25962,-1.55983,10.0,90.0911,FAIBLE
FR-328071,2025-07-03,2025-07-11,XPO Logistics,Marseille Port Depot,Angers,252.4,652.4,Livré,petit_camion,82.86,ae8ce543547ae3d4,2da5ca94e0b17d41,47.47665,-0.47466,8.0,19.7599,FAIBLE
FR-155337,2025-07-25,2025-07-27,FedEx,Paris-CDG Hub,Lille,1233.0,384.4,Livré,gros_camion,333.89,1e3f6890d2ddffa6,bc4af02857df1ab5,50.66378,3.12161,2.0,99.5327,AUCUN
FR-692245,2025-07-16,,DB Schenker,Bordeaux Logistics Park,Rennes,49.4,1133.4,En attente,fourgonnette,12.32,c8796666bc9acaab,249fde20cb118fa3,48.01968,-1.69177,,4.4792,AUCUN
FR-386214,2025-07-09,,DB Schenker,Marseille Port Depot,Toulon,6834.1,389.7,En attente,train,381.84,737b27ae09a06d30,9236debf2afc923e,42.99773,5.99291,,74.571,AUCUN
FR-796358,2025-07-15,2025-07-28,XPO Logistics,Bordeaux Logistics Park,Angers,714.5,742.9,Livré,petit_camion,140.77,97c134953eabb671,5db8f437e3e68928,47.51407,-0.56085,13.0,63.6962,FAIBLE
FR-664262,2025-07-14,2025-07-15,Kuehne+Nagel,Bordeaux Logistics Park,Nice,7880.6,924.2,Livré,train,437.74,b8ed8df564cec2ef,4cddfe635d93511a,43.61713,7.24701,1.0,203.931,AUCUN
FR-999005,2025-07-05,2025-07-10,GLS,Bordeaux Logistics Park,Lyon,559.7,269.7,Livré,petit_camion,139.05,50b6dd7a25a72160,b7cda8b6568b666a,45.80558,4.84608,5.0,18.1141,AUCUN
FR-910694,2025-07-20,2025-07-24,XPO Logistics,Lyon Distribution Center,Brest,997.2,467.1,Livré,gros_camion,238.77,ddd94bb935d6fc90,3f7d3b8e4b25d9f5,48.37173,-4.54478,4.0,97.8163,AUCUN
FR-474999,2025-07-03,2025-07-16,Unknown,Bordeaux Logistics Park,Rennes,23.8,1054.2,Livré,avion,235.36,6e21cb30cd3271a9,655295ab6ccab106,48.14264,-1.68784,13.0,23.8355,FAIBLE
FR-884108,2025-07-01,2025-07-09,DHL,Bordeaux Logistics Park,Bordeaux,174.7,819.4,Livré,avion,419.54,076d9a82acb00f0c,2159b87d1edda2c5,44.82944,-0.57186,8.0,135.9917,FAIBLE
FR-529725,2025-07-07,2025-07-09,GLS,Marseille Port Depot,Marseille,154.6,1177.6,Livré,avion,456.83,309f7e2638c05965,59e48692a33651c8,43.29418,5.3533,2.0,172.9541,AUCUN
FR-363579,2025-07-28,,XPO Logistics,Lyon Distribution Center,Marseille,,368.1,En attente,train,226.15,ccd16f4072984dcc,d824804bc2398646,43.31486,5.34351,,0.0,AUCUN
FR-748074,2025-07-01,2025-07-04,Chronopost,Marseille Port Depot,Nantes,4987.9,517.2,Livré,gros_camion,496.71,176085ab92f665ad,8bd8c3650c882972,47.23059,-1.5818,3.0,541.7458,AUCUN
FR-384186,2025-07-03,,Unknown,Lyon Distribution Center,Limoges,160.0,483.1,En attente,avion,294.41,577bd3cc79f49864,e403107ac76ef345,45.77102,1.33329,,73.4312,AUCUN
FR-380783,2025-07-27,2025-08-05,DB Schenker,Lyon Distribution Center,Marseille,42.3,915.6,Livré,fourgonnette,19.5,dcc4a7b2cb980dd1,479a31a19bd8d7bf,43.37841,5.44485,9.0,3.0984,FAIBLE
FR-370856,2025-07-06,2025-07-12,XPO Logistics,Lyon Distribution Center,Lille,49.2,188.0,Livré,fourgonnette,13.24,b3ede2357f536e0a,c35ad868fda578fc,50.64781,3.08124,6.0,0.74,FAIBLE
FR-264053,2025-07-19,2025-07-31,Unknown,Marseille Port Depot,Rennes,3095.1,933.2,Livré,train,375.49,4f34261f7c38ba0c,7dc33ca9011db97e,48.09374,-1.62404,12.0,80.8737,FAIBLE
FR-836421,2025-07-07,,DB Schenker,Paris-CDG Hub,Paris,1284.3,767.4,En transit,train,271.67,a411faa4604af305,1c16486d273e5e78,48.89151,2.37187,,27.596,MOYEN
FR-506845,2025-07-15,2025-07-26,Kuehne+Nagel,Lyon Distribution Center,Rennes,2819.8,58.5,Livré,gros_camion,287.36,b3ede2357f536e0a,dec29bef98ecb2cc,48.23573,-1.699,11.0,34.6412,FAIBLE
FR-694604,2025-07-08,2025-07-15,Kuehne+Nagel,Paris-CDG Hub,Paris,11.8,1195.6,Retardé,fourgonnette,24.51,2210da77fef00168,2af0770801c14fb8,48.88071,2.33121,7.0,1.1286,ÉLEVÉ
FR-474484,2025-07-26,2025-07-31,DHL,Lyon Distribution Center,Strasbourg,4441.5,698.6,Retardé,gros_camion,501.29,bcda6b0629bed55e,a1648a13510c70f9,48.49175,7.72346,5.0,651.5947,ÉLEVÉ
FR-142229,2025-07-29,2025-07-31,UPS,Lyon Distribution Center,Angers,38.9,492.3,Livré,fourgonnette,16.15,0a09e9b5dbb0d8ab,4786433c209bef76,47.50558,-0.58173,2.0,1.532,AUCUN
FR-825495,2025-07-07,,FedEx,Marseille Port Depot,Montpellier,777.1,317.2,En transit,petit_camion,146.82,737b27ae09a06d30,681f652665fe1032,43.57245,3.83869,,29.5795,MOYEN
FR-657685,2025-07-14,2025-07-24,Chronopost,Bordeaux Logistics Park,Nantes,4909.1,1138.8,Livré,train,350.66,80c6e1b004c4d98c,0f03d36a22fa8e2b,47.27913,-1.55808,10.0,156.5335,FAIBLE
FR-741179,2025-07-15,,Kuehne+Nagel,Paris-CDG Hub,Colmar,448.4,1124.6,En transit,petit_camion,113.49,97c134953eabb671,fda00d4d6927a950,48.04996,7.35626,,60.5125,MOYEN
FR-348500,2025-07-18,,DHL,Bordeaux Logistics Park,Rennes,485.1,312.5,En transit,petit_camion,112.49,6dd72298f13e566b,857ab4966cc66542,48.07038,-1.64559,,18.1913,MOYEN
FR-416205,2025-07-04,,GLS,Lyon Distribution Center,Grenoble,129.9,792.8,En transit,petit_camion,126.19,a411faa4604af305,edd7a2bab6ce5aa7,45.17177,5.73481,,12.3582,MOYEN
FR-519139,2025-07-02,2025-07-06,FedEx,Paris-CDG Hub,Aix-en-Provence,4487.1,387.5,Retardé,gros_camion,497.05,737b27ae09a06d30,62950710334858a4,43.47489,5.3754,4.0,365.1378,ÉLEVÉ
FR-764468,2025-07-19,2025-07-20,DB Schenker,Paris-CDG Hub,Nantes,,210.4,Livré,gros_camion,381.17,2e49ed8efc869923,6094cc8bf0150fcb,47.09343,-1.43905,1.0,0.0,AUCUN
FR-887609,2025-07-25,2025-07-30,GLS,Lyon Distribution Center,Rennes,3805.1,630.3,Livré,gros_camion,505.6,ac1dabffaec6f025,7f7e167071e24c3d,48.05643,-1.7019,5.0,503.6545,AUCUN
FR-540097,2025-07-14,,Kuehne+Nagel,Lyon Distribution Center,Grenoble,201.0,651.6,En transit,avion,354.38,d21c62bed959dcf6,9e9a70455792a234,45.19307,5.79022,,124.423,MOYEN
FR-275211,2025-07-10,2025-07-17,Unknown,Paris-CDG Hub,Nice,4654.6,515.2,Livré,gros_camion,433.73,ccd16f4072984dcc,9ad42613007024d4,43.77051,7.2812,7.0,503.5905,FAIBLE
FR-325160,2025-07-26,,Unknown,Bordeaux Logistics Park,Metz,227.7,938.8,En transit,petit_camion,96.37,213616dfc61bfad5,355000829d5056a3,49.13127,6.1366,,25.6518,MOYEN
FR-884625,2025-07-05,2025-07-17,DHL,Paris-CDG Hub,Toulouse,183.8,381.6,Livré,petit_camion,71.53,6b16b395ec3a9551,5e75d68b3c985e06,43.62042,1.4441,12.0,8.4166,FAIBLE
FR-216492,2025-07-17,2025-07-22,Chronopost,Lyon Distribution Center,Lille,3656.6,284.7,Livré,gros_camion,390.63,d0443b3d89fde63f,0af2667dc8f90230,50.53164,3.02585,5.0,218.6171,AUCUN
FR-719961,2025-07-04,2025-07-13,XPO Logistics,Bordeaux Logistics Park,Brest,3106.8,801.2,Livré,train,338.5,97c134953eabb671,078ba38196011c7f,48.50637,-4.46643,9.0,69.6967,FAIBLE
FR-716166,2025-07-01,2025-07-07,Kuehne+Nagel,Paris-CDG Hub,Paris,2773.5,323.1,Retardé,train,222.42,bcda6b0629bed55e,64c9db550ae3da06,48.80143,2.24456,6.0,25.0913,ÉLEVÉ
FR-333782,2025-07-06,2025-07-12,FedEx,Lyon Distribution Center,Toulouse,137.3,982.8,Retardé,petit_camion,94.13,77a37e0c1eabf2ac,02d1127676cd1235,43.5713,1.4938,6.0,16.1926,ÉLEVÉ
FR-736308,2025-07-03,2025-07-06,DB Schenker,Lyon Distribution Center,Nice,4254.4,167.7,Livré,gros_camion,440.45,ae8ce543547ae3d4,b983ec7a59e703ac,43.67022,7.27958,3.0,149.8272,AUCUN
FR-117347,2025-07-25,,Chronopost,Lyon Distribution Center,Nantes,6885.9,10.4,En attente,train,240.73,de6c9169a9ba75a9,c0ff94b41612278b,47.19027,-1.58368,,2.0052,AUCUN
FR-543057,2025-07-29,,UPS,Marseille Port Depot,Toulouse,4.2,941.4,En transit,fourgonnette,11.57,98c6fa9a1549ec58,20f729f85d2320d4,43.56806,1.40912,,0.3163,MOYEN
FR-985155,2025-07-28,2025-08-02,Kuehne+Nagel,Paris-CDG Hub,Bordeaux,4112.3,220.5,Livré,train,245.31,6dcb5f2757af7881,68d25b1576b2c1da,44.92526,-0.5395,5.0,25.3893,AUCUN
FR-322084,2025-07-01,2025-07-03,Chronopost,Lyon Distribution Center,Toulouse,239.9,590.5,Livré,avion,337.28,9f825829469aca3d,670e95ee17e66452,43.66311,1.40105,2.0,134.5779,AUCUN
FR-769416,2025-07-29,2025-08-08,Kuehne+Nagel,Paris-CDG Hub,Troyes,544.0,1132.0,Retourné,petit_camion,179.96,1f5f2617ee232079,f23e781d4077d74c,48.36793,4.13512,10.0,73.897,AUCUN
FR-937831,2025-07-17,2025-07-24,Unknown,Paris-CDG Hub,Lyon,4341.7,819.5,Retourné,train,269.26,184fcccb030ef7f7,498015979e2e44b3,45.6423,4.84499,7.0,99.6246,AUCUN
FR-672643,2025-07-11,2025-07-18,Kuehne+Nagel,Paris-CDG Hub,Marseille,137.9,998.3,Retardé,avion,289.41,75a44226210eb23d,0dc1a0372b35927a,43.23387,5.34468,7.0,130.7823,ÉLEVÉ
FR-197661,2025-07-04,2025-07-13,Unknown,Marseille Port Depot,Paris,2153.3,159.0,Livré,gros_camion,306.11,b3ede2357f536e0a,0637f86a67c5fc4f,48.88351,2.40583,9.0,71.8987,FAIBLE
FR-670126,2025-07-17,,UPS,Bordeaux Logistics Park,Bordeaux,3414.9,204.8,En transit,train,215.71,a9bc7e3c6079a06c,31ce9444814b7aeb,44.77718,-0.52243,,19.5824,MOYEN
FR-661931,2025-07-09,2025-07-22,Kuehne+Nagel,Bordeaux Logistics Park,Le Mans,903.9,390.9,Livré,train,231.2,d1d9c071e6672d29,fe8722e2eec670ab,48.02608,0.16703,13.0,9.8934,FAIBLE
FR-668926,2025-07-15,2025-07-27,Chronopost,Marseille Port Depot,Nice,186.1,738.2,Livré,avion,311.54,176085ab92f665ad,dfaf1384a7bd33a7,43.74003,7.30048,12.0,130.5101,FAIBLE
FR-400931,2025-07-08,2025-07-18,DHL,Bordeaux Logistics Park,Nice,9.8,432.9,Livré,fourgonnette,16.21,bebe00cf88981ebb,dfc9dc79b7a69f53,43.67096,7.29441,10.0,0.3394,FAIBLE
FR-189464,2025-07-20,2025-07-27,FedEx,Bordeaux Logistics Park,Strasbourg,2346.9,543.8,Retardé,gros_camion,402.03,cca89aaad52adbdd,a826620590dab81e,48.49712,7.81523,7.0,268.0113,ÉLEVÉ
FR-389910,2025-07-07,2025-07-10,Unknown,Lyon Distribution Center,Nice,4705.0,728.2,Livré,train,357.05,5bb1ecc8ac6edde3,5d2524a06b0e652e,43.66929,7.26183,3.0,95.9331,AUCUN
FR-142092,2025-07-12,,Kuehne+Nagel,Lyon Distribution Center,Strasbourg,37.7,400.5,En attente,avion,225.31,60d3bd00a0e40db3,6d2582341931946d,48.59618,7.69801,,14.3439,AUCUN
FR-228046,2025-07-27,2025-08-08,Chronopost,Marseille Port Depot,Nice,46.9,441.1,Livré,avion,217.64,b5d62e25e9a7adb6,0cb1c39379cc2e78,43.6869,7.18226,12.0,19.6532,FAIBLE
FR-687100,2025-07-05,2025-07-15,FedEx,Lyon Distribution Center,Marseille,873.8,1085.7,Retardé,train,321.55,2a457c97836df9d7,84987ea4118629c6,43.24658,5.38489,10.0,26.5632,ÉLEVÉ
FR-686712,2025-07-04,2025-07-16,UPS,Marseille Port Depot,Lille,14.1,946.7,Livré,fourgonnette,22.77,867749e4b7692143,77ddf9993e324e16,50.6379,3.04884,12.0,1.0679,FAIBLE
FR-402929,2025-07-26,2025-07-30,DB Schenker,Paris-CDG Hub,Le Havre,3876.3,662.5,Livré,gros_camion,423.14,ac1dabffaec6f025,eeccc0a09a276b9b,49.51482,0.10767,4.0,539.2902,AUCUN
FR-349430,2025-07-26,,Kuehne+Nagel,Paris-CDG Hub,Annecy,3121.3,145.8,En transit,train,190.49,286f327fca2fc8f0,2cb5467db495a9c3,45.9498,6.01519,,12.7424,MOYEN
FR-145232,2025-07-17,2025-07-23,DHL,Paris-CDG Hub,Nantes,236.5,1021.5,Livré,avion,517.06,5bb1ecc8ac6edde3,468fe70d97599b87,47.20329,-1.54242,6.0,229.5055,FAIBLE
FR-248066,2025-07-19,2025-07-26,Kuehne+Nagel,Lyon Distribution Center,Nice,6175.6,628.1,Livré,train,320.63,50b6dd7a25a72160,a3c81d8dbd9593b6,43.72856,7.3414,7.0,108.609,FAIBLE
FR-777623,2025-07-30,,DHL,Lyon Distribution Center,Toulon,3887.7,482.9,En attente,train,232.27,b5eaeda6f050b47c,baa445c7c44b946b,43.17016,5.89459,,52.5664,AUCUN
FR-361716,2025-07-08,,GLS,Bordeaux Logistics Park,Nice,5719.2,954.0,En transit,train,363.43,b6a35244625ccc34,25d89d322a78bcba,43.70549,7.24589,,152.7713,MOYEN
FR-379215,2025-07-11,2025-07-17,GLS,Marseille Port Depot,Orléans,,611.2,Livré,petit_camion,170.69,ac1dabffaec6f025,8910ae026e1fd3c4,47.84345,1.89654,6.0,0.0,FAIBLE
FR-896184,2025-07-03,2025-07-07,DHL,Lyon Distribution Center,Annecy,6936.3,984.7,Livré,train,436.97,a7343d238975093d,7efa621c24217294,45.89464,6.0174,4.0,191.2449,AUCUN
FR-112763,2025-07-30,2025-08-11,Unknown,Paris-CDG Hub,Toulouse,7290.2,890.2,Livré,train,382.85,184fcccb030ef7f7,6046ce8f35ee31cd,43.62617,1.46332,12.0,181.7126,FAIBLE
FR-571328,2025-07-20,,DHL,Paris-CDG Hub,Rouen,5612.5,208.9,En transit,train,306.79,737b27ae09a06d30,b5572394cb7f9666,49.4264,1.12154,,32.8286,MOYEN
FR-727220,2025-07-03,2025-07-07,GLS,Lyon Distribution Center,Caen,641.3,801.3,Livré,petit_camion,137.29,b5d62e25e9a7adb6,254d697827629dc0,49.15429,-0.43675,4.0,61.6648,AUCUN
FR-802098,2025-07-30,2025-08-03,DB Schenker,Bordeaux Logistics Park,Nantes,4858.2,161.7,Livré,gros_camion,448.66,b6a35244625ccc34,bcac5dfc9bd69631,47.17163,-1.4993,4.0,164.9699,AUCUN
FR-216219,2025-07-19,2025-07-27,FedEx,Lyon Distribution Center,Nice,231.4,24.8,Livré,petit_camion,75.53,588860b1c06a5a7a,697523857c824f30,43.69234,7.30172,8.0,0.6886,FAIBLE
FR-163095,2025-07-23,2025-07-24,GLS,Paris-CDG Hub,Lille,3208.1,794.0,Livré,gros_camion,424.07,b5eaeda6f050b47c,862b443cb1ca4bc4,50.57318,3.0518,1.0,534.9186,AUCUN
