tracking_id,order_date,delivery_date,carrier,origin_warehouse,destination_city,weight_kg,distance_km,status,vehicle_type,shipping_cost_eur,customer_name,phone,lat,lon
FR-954016,2025-07-26,2025-07-31,Chronopost,Lyon Distribution Center,Lille,3.1,410.6,Livré,fourgonnette,7.83,6b16b395ec3a9551,49f20bb5359eca31,50.5991,3.09531
FR-872042,2025-07-15,,DHL,Paris-CDG Hub,Orléans,7737.7,157.9,En transit,train,353.72,144818883fd1fd2e,12633523eb420811,47.93187,1.93416
FR-451005,2025-07-03,2025-07-06,GLS,Lyon Distribution Center,Lille,2448.3,981.8,Livré,gros_camion,435.11,46b06486d10dd744,3ddbea5fb32ef15d,50.56867,2.97663
FR-192263,2025-07-19,2025-07-25,DHL,Marseille Port Depot,Angers,1384.9,954.9,Livré,gros_camion,395.07,57305694cae2b1d0,491f549634f16618,47.51981,-0.51271
FR-364480,2025-07-30,,UPS,Lyon Distribution Center,Caen,127.2,648.4,En transit,petit_camion,82.4,0915a7642195cf8a,4d12aa32649427eb,49.16153,-0.39833
FR-382753,2025-07-27,,DHL,Lyon Distribution Center,Dijon,17.6,226.1,En transit,fourgonnette,16.66,d0443b3d89fde63f,bdde30d7b195c2f6,47.3601,5.05213
FR-996209,2025-07-25,2025-08-06,Chronopost,Lyon Distribution Center,Pau,230.7,851.6,Livré,avion,372.56,3275c62b4a30ee93,fecd019f182d030b,43.27864,-0.39431
FR-278595,2025-07-22,,XPO Logistics,Marseille Port Depot,Toulouse,95.4,895.7,En attente,avion,272.31,588860b1c06a5a7a,5def749e085dba58,43.65729,1.43183
FR-632358,2025-07-18,2025-07-19,Chronopost,Paris-CDG Hub,Toulouse,423.8,508.5,Retardé,petit_camion,138.06,b5d62e25e9a7adb6,60aec8b1107ddf00,43.59126,1.38887
FR-306524,2025-07-08,2025-07-21,XPO Logistics,Paris-CDG Hub,Toulouse,17.8,567.2,Livré,fourgonnette,15.58,64be089ea6398de1,07eac9fb0e4dbbf0,43.72619,1.54169
FR-897917,2025-07-06,2025-07-07,UPS,Marseille Port Depot,Calais,,776.4,Livré,gros_camion,372.53,176085ab92f665ad,890623e3129c488c,50.98738,1.80225
FR-549589,2025-07-25,,Kuehne+Nagel,Paris-CDG Hub,Nice,,1186.6,En transit,gros_camion,601.65,bebe00cf88981ebb,3c2c3050dc837886,43.73986,7.24652
FR-354726,2025-07-01,2025-07-14,Kuehne+Nagel,Lyon Distribution Center,Rennes,4549.2,982.8,Retardé,gros_camion,546.08,0a09e9b5dbb0d8ab,ed99fbbccb0cee55,48.05328,-1.59006
FR-492417,2025-07-21,2025-07-31,XPO Logistics,Bordeaux Logistics Park,Lyon,44.8,961.8,Livré,fourgonnette,17.02,577bd3cc79f49864,93068dcc2c4e5154,45.69659,4.87286
FR-413837,2025-07-04,2025-07-17,DHL,Marseille Port Depot,Rouen,3024.6,979.9,Livré,gros_camion,477.97,abb3d464b81216db,3f2ea5028388c3d7,49.39826,1.05442
FR-851883,2025-07-13,2025-07-23,Chronopost,Paris-CDG Hub,Nantes,6281.8,512.2,Livré,train,327.87,ccd16f4072984dcc,06efa89f40facf00,47.25962,-1.55983
FR-328071,2025-07-03,2025-07-11,XPO Logistics,Marseille Port Depot,Angers,252.4,652.4,Livré,petit_camion,82.86,ae8ce543547ae3d4,2da5ca94e0b17d41,47.47665,-0.47466
FR-155337,2025-07-25,2025-07-27,FedEx,Paris-CDG Hub,Lille,1233.0,384.4,Livré,gros_camion,333.89,1e3f6890d2ddffa6,bc4af02857df1ab5,50.66378,3.12161
FR-692245,2025-07-16,,DB Schenker,Bordeaux Logistics Park,Rennes,49.4,1133.4,En attente,fourgonnette,12.32,c8796666bc9acaab,249fde20cb118fa3,48.01968,-1.69177
FR-386214,2025-07-09,,DB Schenker,Marseille Port Depot,Toulon,6834.1,389.7,En attente,train,381.84,737b27ae09a06d30,9236debf2afc923e,42.99773,5.99291
FR-796358,2025-07-15,2025-07-28,XPO Logistics,Bordeaux Logistics Park,Angers,714.5,742.9,Livré,petit_camion,140.77,97c134953eabb671,5db8f437e3e68928,47.51407,-0.56085
FR-664262,2025-07-14,2025-07-15,Kuehne+Nagel,Bordeaux Logistics Park,Nice,7880.6,924.2,Livré,train,437.74,b8ed8df564cec2ef,4cddfe635d93511a,43.61713,7.24701
FR-999005,2025-07-05,2025-07-10,GLS,Bordeaux Logistics Park,Lyon,559.7,269.7,Livré,petit_camion,139.05,50b6dd7a25a72160,b7cda8b6568b666a,45.80558,4.84608
FR-910694,2025-07-20,2025-07-24,XPO Logistics,Lyon Distribution Center,Brest,997.2,467.1,Livré,gros_camion,238.77,ddd94bb935d6fc90,3f7d3b8e4b25d9f5,48.37173,-4.54478
FR-474999,2025-07-03,2025-07-16,Unknown,Bordeaux Logistics Park,Rennes,23.8,1054.2,Livré,avion,235.36,6e21cb30cd3271a9,655295ab6ccab106,48.14264,-1.68784
FR-884108,2025-07-01,2025-07-09,DHL,Bordeaux Logistics Park,Bordeaux,174.7,819.4,Livré,avion,419.54,076d9a82acb00f0c,2159b87d1edda2c5,44.82944,-0.57186
FR-529725,2025-07-07,2025-07-09,GLS,Marseille Port Depot,Marseille,154.6,1177.6,Livré,avion,456.83,309f7e2638c05965,59e48692a33651c8,43.29418,5.3533
FR-363579,2025-07-28,,XPO Logistics,Lyon Distribution Center,Marseille,,368.1,En attente,train,226.15,ccd16f4072984dcc,d824804bc2398646,43.31486,5.34351
FR-748074,2025-07-01,2025-07-04,Chronopost,Marseille Port Depot,Nantes,4987.9,517.2,Livré,gros_camion,496.71,176085ab92f665ad,8bd8c3650c882972,47.23059,-1.5818
FR-384186,2025-07-03,,Unknown,Lyon Distribution Center,Limoges,160.0,483.1,En attente,avion,294.41,577bd3cc79f49864,e403107ac76ef345,45.77102,1.33329
FR-380783,2025-07-27,2025-08-05,DB Schenker,Lyon Distribution Center,Marseille,42.3,915.6,Livré,fourgonnette,19.5,dcc4a7b2cb980dd1,479a31a19bd8d7bf,43.37841,5.44485
FR-370856,2025-07-06,2025-07-12,XPO Logistics,Lyon Distribution Center,Lille,49.2,188.0,Livré,fourgonnette,13.24,b3ede2357f536e0a,c35ad868fda578fc,50.64781,3.08124
FR-264053,2025-07-19,2025-07-31,Unknown,Marseille Port Depot,Rennes,3095.1,933.2,Livré,train,375.49,4f34261f7c38ba0c,7dc33ca9011db97e,48.09374,-1.62404
FR-836421,2025-07-07,,DB Schenker,Paris-CDG Hub,Paris,1284.3,767.4,En transit,train,271.67,a411faa4604af305,1c16486d273e5e78,48.89151,2.37187
FR-506845,2025-07-15,2025-07-26,Kuehne+Nagel,Lyon Distribution Center,Rennes,2819.8,58.5,Livré,gros_camion,287.36,b3ede2357f536e0a,dec29bef98ecb2cc,48.23573,-1.699
FR-694604,2025-07-08,2025-07-15,Kuehne+Nagel,Paris-CDG Hub,Paris,11.8,1195.6,Retardé,fourgonnette,24.51,2210da77fef00168,2af0770801c14fb8,48.88071,2.33121
FR-474484,2025-07-26,2025-07-31,DHL,Lyon Distribution Center,Strasbourg,4441.5,698.6,Retardé,gros_camion,501.29,bcda6b0629bed55e,a1648a13510c70f9,48.49175,7.72346
FR-142229,2025-07-29,2025-07-31,UPS,Lyon Distribution Center,Angers,38.9,492.3,Livré,fourgonnette,16.15,0a09e9b5dbb0d8ab,4786433c209bef76,47.50558,-0.58173
FR-825495,2025-07-07,,FedEx,Marseille Port Depot,Montpellier,777.1,317.2,En transit,petit_camion,146.82,737b27ae09a06d30,681f652665fe1032,43.57245,3.83869
FR-657685,2025-07-14,2025-07-24,Chronopost,Bordeaux Logistics Park,Nantes,4909.1,1138.8,Livré,train,350.66,80c6e1b004c4d98c,0f03d36a22fa8e2b,47.27913,-1.55808
FR-741179,2025-07-15,,Kuehne+Nagel,Paris-CDG Hub,Colmar,448.4,1124.6,En transit,petit_camion,113.49,97c134953eabb671,fda00d4d6927a950,48.04996,7.35626
FR-348500,2025-07-18,,DHL,Bordeaux Logistics Park,Rennes,485.1,312.5,En transit,petit_camion,112.49,6dd72298f13e566b,857ab4966cc66542,48.07038,-1.64559
FR-416205,2025-07-04,,GLS,Lyon Distribution Center,Grenoble,129.9,792.8,En transit,petit_camion,126.19,a411faa4604af305,edd7a2bab6ce5aa7,45.17177,5.73481
FR-519139,2025-07-02,2025-07-06,FedEx,Paris-CDG Hub,Aix-en-Provence,4487.1,387.5,Retardé,gros_camion,497.05,737b27ae09a06d30,62950710334858a4,43.47489,5.3754
FR-764468,2025-07-19,2025-07-20,DB Schenker,Paris-CDG Hub,Nantes,,210.4,Livré,gros_camion,381.17,2e49ed8efc869923,6094cc8bf0150fcb,47.09343,-1.43905
FR-887609,2025-07-25,2025-07-30,GLS,Lyon Distribution Center,Rennes,3805.1,630.3,Livré,gros_camion,505.6,ac1dabffaec6f025,7f7e167071e24c3d,48.05643,-1.7019
FR-540097,2025-07-14,,Kuehne+Nagel,Lyon Distribution Center,Grenoble,201.0,651.6,En transit,avion,354.38,d21c62bed959dcf6,9e9a70455792a234,45.19307,5.79022
FR-275211,2025-07-10,2025-07-17,Unknown,Paris-CDG Hub,Nice,4654.6,515.2,Livré,gros_camion,433.73,ccd16f4072984dcc,9ad42613007024d4,43.77051,7.2812
FR-325160,2025-07-26,,Unknown,Bordeaux Logistics Park,Metz,227.7,938.8,En transit,petit_camion,96.37,213616dfc61bfad5,355000829d5056a3,49.13127,6.1366
FR-884625,2025-07-05,2025-07-17,DHL,Paris-CDG Hub,Toulouse,183.8,381.6,Livré,petit_camion,71.53,6b16b395ec3a9551,5e75d68b3c985e06,43.62042,1.4441
FR-216492,2025-07-17,2025-07-22,Chronopost,Lyon Distribution Center,Lille,3656.6,284.7,Livré,gros_camion,390.63,d0443b3d89fde63f,0af2667dc8f90230,50.53164,3.02585
FR-719961,2025-07-04,2025-07-13,XPO Logistics,Bordeaux Logistics Park,Brest,3106.8,801.2,Livré,train,338.5,97c134953eabb671,078ba38196011c7f,48.50637,-4.46643
FR-716166,2025-07-01,2025-07-07,Kuehne+Nagel,Paris-CDG Hub,Paris,2773.5,323.1,Retardé,train,222.42,bcda6b0629bed55e,64c9db550ae3da06,48.80143,2.24456
FR-333782,2025-07-06,2025-07-12,FedEx,Lyon Distribution Center,Toulouse,137.3,982.8,Retardé,petit_camion,94.13,77a37e0c1eabf2ac,02d1127676cd1235,43.5713,1.4938
FR-736308,2025-07-03,2025-07-06,DB Schenker,Lyon Distribution Center,Nice,4254.4,167.7,Livré,gros_camion,440.45,ae8ce543547ae3d4,b983ec7a59e703ac,43.67022,7.27958
FR-117347,2025-07-25,,Chronopost,Lyon Distribution Center,Nantes,6885.9,10.4,En attente,train,240.73,de6c9169a9ba75a9,c0ff94b41612278b,47.19027,-1.58368
FR-543057,2025-07-29,,UPS,Marseille Port Depot,Toulouse,4.2,941.4,En transit,fourgonnette,11.57,98c6fa9a1549ec58,20f729f85d2320d4,43.56806,1.40912
FR-985155,2025-07-28,2025-08-02,Kuehne+Nagel,Paris-CDG Hub,Bordeaux,4112.3,220.5,Livré,train,245.31,6dcb5f2757af7881,68d25b1576b2c1da,44.92526,-0.5395
FR-322084,2025-07-01,2025-07-03,Chronopost,Lyon Distribution Center,Toulouse,239.9,590.5,Livré,avion,337.28,9f825829469aca3d,670e95ee17e66452,43.66311,1.40105
FR-769416,2025-07-29,2025-08-08,Kuehne+Nagel,Paris-CDG Hub,Troyes,544.0,1132.0,Retourné,petit_camion,179.96,1f5f2617ee232079,f23e781d4077d74c,48.36793,4.13512
FR-937831,2025-07-17,2025-07-24,Unknown,Paris-CDG Hub,Lyon,4341.7,819.5,Retourné,train,269.26,184fcccb030ef7f7,498015979e2e44b3,45.6423,4.84499
FR-672643,2025-07-11,2025-07-18,Kuehne+Nagel,Paris-CDG Hub,Marseille,137.9,998.3,Retardé,avion,289.41,75a44226210eb23d,0dc1a0372b35927a,43.23387,5.34468
FR-197661,2025-07-04,2025-07-13,Unknown,Marseille Port Depot,Paris,2153.3,159.0,Livré,gros_camion,306.11,b3ede2357f536e0a,0637f86a67c5fc4f,48.88351,2.40583
FR-670126,2025-07-17,,UPS,Bordeaux Logistics Park,Bordeaux,3414.9,204.8,En transit,train,215.71,a9bc7e3c6079a06c,31ce9444814b7aeb,44.77718,-0.52243
FR-661931,2025-07-09,2025-07-22,Kuehne+Nagel,Bordeaux Logistics Park,Le Mans,903.9,390.9,Livré,train,231.2,d1d9c071e6672d29,fe8722e2eec670ab,48.02608,0.16703
FR-668926,2025-07-15,2025-07-27,Chronopost,Marseille Port Depot,Nice,186.1,738.2,Livré,avion,311.54,176085ab92f665ad,dfaf1384a7bd33a7,43.74003,7.30048
FR-400931,2025-07-08,2025-07-18,DHL,Bordeaux Logistics Park,Nice,9.8,432.9,Livré,fourgonnette,16.21,bebe00cf88981ebb,dfc9dc79b7a69f53,43.67096,7.29441
FR-189464,2025-07-20,2025-07-27,FedEx,Bordeaux Logistics Park,Strasbourg,2346.9,543.8,Retardé,gros_camion,402.03,cca89aaad52adbdd,a826620590dab81e,48.49712,7.81523
FR-389910,2025-07-07,2025-07-10,Unknown,Lyon Distribution Center,Nice,4705.0,728.2,Livré,train,357.05,5bb1ecc8ac6edde3,5d2524a06b0e652e,43.66929,7.26183
FR-142092,2025-07-12,,Kuehne+Nagel,Lyon Distribution Center,Strasbourg,37.7,400.5,En attente,avion,225.31,60d3bd00a0e40db3,6d2582341931946d,48.59618,7.69801
FR-228046,2025-07-27,2025-08-08,Chronopost,Marseille Port Depot,Nice,46.9,441.1,Livré,avion,217.64,b5d62e25e9a7adb6,0cb1c39379cc2e78,43.6869,7.18226
FR-687100,2025-07-05,2025-07-15,FedEx,Lyon Distribution Center,Marseille,873.8,1085.7,Retardé,train,321.55,2a457c97836df9d7,84987ea4118629c6,43.24658,5.38489
FR-686712,2025-07-04,2025-07-16,UPS,Marseille Port Depot,Lille,14.1,946.7,Livré,fourgonnette,22.77,867749e4b7692143,77ddf9993e324e16,50.6379,3.04884
FR-402929,2025-07-26,2025-07-30,DB Schenker,Paris-CDG Hub,Le Havre,3876.3,662.5,Livré,gros_camion,423.14,ac1dabffaec6f025,eeccc0a09a276b9b,49.51482,0.10767
FR-349430,2025-07-26,,Kuehne+Nagel,Paris-CDG Hub,Annecy,3121.3,145.8,En transit,train,190.49,286f327fca2fc8f0,2cb5467db495a9c3,45.9498,6.01519
FR-145232,2025-07-17,2025-07-23,DHL,Paris-CDG Hub,Nantes,236.5,1021.5,Livré,avion,517.06,5bb1ecc8ac6edde3,468fe70d97599b87,47.20329,-1.54242
FR-248066,2025-07-19,2025-07-26,Kuehne+Nagel,Lyon Distribution Center,Nice,6175.6,628.1,Livré,train,320.63,50b6dd7a25a72160,a3c81d8dbd9593b6,43.72856,7.3414
FR-777623,2025-07-30,,DHL,Lyon Distribution Center,Toulon,3887.7,482.9,En attente,train,232.27,b5eaeda6f050b47c,baa445c7c44b946b,43.17016,5.89459
FR-361716,2025-07-08,,GLS,Bordeaux Logistics Park,Nice,5719.2,954.0,En transit,train,363.43,b6a35244625ccc34,25d89d322a78bcba,43.70549,7.24589
FR-379215,2025-07-11,2025-07-17,GLS,Marseille Port Depot,Orléans,,611.2,Livré,petit_camion,170.69,ac1dabffaec6f025,8910ae026e1fd3c4,47.84345,1.89654
FR-896184,2025-07-03,2025-07-07,DHL,Lyon Distribution Center,Annecy,6936.3,984.7,Livré,train,436.97,a7343d238975093d,7efa621c24217294,45.89464,6.0174
FR-112763,2025-07-30,2025-08-11,Unknown,Paris-CDG Hub,Toulouse,7290.2,890.2,Livré,train,382.85,184fcccb030ef7f7,6046ce8f35ee31cd,43.62617,1.46332
FR-571328,2025-07-20,,DHL,Paris-CDG Hub,Rouen,5612.5,208.9,En transit,train,306.79,737b27ae09a06d30,b5572394cb7f9666,49.4264,1.12154
FR-727220,2025-07-03,2025-07-07,GLS,Lyon Distribution Center,Caen,641.3,801.3,Livré,petit_camion,137.29,b5d62e25e9a7adb6,254d697827629dc0,49.15429,-0.43675
FR-802098,2025-07-30,2025-08-03,DB Schenker,Bordeaux Logistics Park,Nantes,4858.2,161.7,Livré,gros_camion,448.66,b6a35244625ccc34,bcac5dfc9bd69631,47.17163,-1.4993
FR-216219,2025-07-19,2025-07-27,FedEx,Lyon Distribution Center,Nice,231.4,24.8,Livré,petit_camion,75.53,588860b1c06a5a7a,697523857c824f30,43.69234,7.30172
FR-163095,2025-07-23,2025-07-24,GLS,Paris-CDG Hub,Lille,3208.1,794.0,Livré,gros_camion,424.07,b5eaeda6f050b47c,862b443cb1ca4bc4,50.57318,3.0518
FR-227795,2025-07-29,,Kuehne+Nagel,Marseille Port Depot,Rennes,160.3,814.9,En transit,avion,303.92,2bfcfe607c0a5f31,64ca07e68c75c3d7,48.0725,-1.72434
FR-949256,2025-07-01,,FedEx,Marseille Port Depot,Toulouse,79.8,728.8,En transit,petit_camion,112.18,2210da77fef00168,4b4621d3bb35c9da,43.52946,1.4822
FR-711004,2025-07-06,2025-07-14,Chronopost,Lyon Distribution Center,Lyon,2744.0,531.9,Livré,gros_camion,356.51,75a44226210eb23d,34f5c715f5403bb4,45.71969,4.84913
FR-476742,2025-07-23,2025-08-03,GLS,Paris-CDG Hub,Nantes,,512.0,Livré,avion,277.79,4dc658302b612f5c,bcd49aaeb0ed428a,47.25279,-1.53262
FR-283965,2025-07-13,2025-07-17,DB Schenker,Paris-CDG Hub,Lyon,392.2,449.2,Livré,petit_camion,87.95,0915a7642195cf8a,fd03d43da454795d,45.8531,4.78244
FR-527826,2025-07-11,2025-07-13,Kuehne+Nagel,Marseille Port Depot,Lyon,1788.9,769.1,Livré,train,290.58,b4b018a4be786430,0d07a32b559ceb00,45.77985,4.93075
FR-803798,2025-07-13,2025-07-18,DB Schenker,Bordeaux Logistics Park,Angers,100.5,471.0,Livré,petit_camion,100.54,b1a521ada32f8bf9,495d719a90eab3f1,47.54802,-0.5757
FR-402523,2025-07-18,2025-07-29,Chronopost,Paris-CDG Hub,Lyon,133.2,1011.7,Livré,avion,401.99,ccd16f4072984dcc,2cda219f4d7f04fc,45.70826,4.84058
FR-906970,2025-07-15,2025-07-28,GLS,Marseille Port Depot,Nice,120.0,643.4,Livré,avion,260.71,6dcb5f2757af7881,612cb6a2c1789ab5,43.6672,7.28984
FR-706590,2025-07-12,,FedEx,Lyon Distribution Center,Bordeaux,4872.4,1199.7,En attente,train,339.97,60d3bd00a0e40db3,2b126359524d075a,44.93583,-0.52283
FR-607732,2025-07-08,2025-07-13,DHL,Marseille Port Depot,Toulouse,45.5,869.4,Retourné,fourgonnette,18.09,93141cbfc2990e76,a611d1c1552b3a3b,43.63578,1.42572
FR-591024,2025-07-19,2025-07-31,Chronopost,Lyon Distribution Center,Mulhouse,2864.0,631.7,Livré,gros_camion,422.17,2debffb0c60c520e,b3adc7d494551b2c,47.64082,7.25028
FR-521614,2025-07-04,,GLS,Bordeaux Logistics Park,Paris,110.3,1017.9,En attente,avion,452.9,46b06486d10dd744,048657766ef39d46,48.90087,2.39166
FR-236917,2025-07-11,,UPS,Lyon Distribution Center,Bordeaux,2200.3,882.3,En transit,gros_camion,419.19,b6a35244625ccc34,ee5c5de8a7e847af,44.86355,-0.54342
FR-142727,2025-07-08,2025-07-17,DHL,Lyon Distribution Center,Tours,,343.6,Retardé,petit_camion,132.79,b4b018a4be786430,d7366cb084e3edf9,47.48036,0.7184
FR-577266,2025-07-27,2025-08-04,DB Schenker,Marseille Port Depot,Metz,5803.1,69.8,Livré,train,231.15,4761f7fa3a69433b,177e9a7debacfa6e,49.11155,6.21074
FR-987516,2025-07-07,2025-07-08,UPS,Lyon Distribution Center,Paris,18.2,780.9,Retardé,fourgonnette,9.93,45466476afe9982a,10e31f798ccfb952,48.94663,2.41415
FR-100159,2025-07-18,2025-07-22,Kuehne+Nagel,Bordeaux Logistics Park,Lille,1571.6,932.7,Livré,train,232.52,ba4df4a50d5ef322,64c18116a0c54cb3,50.59789,3.05807
FR-913349,2025-07-17,,UPS,Bordeaux Logistics Park,Bordeaux,6056.8,386.4,En transit,train,276.02,6ab1a44406435c4c,250452eede9114fa,44.88073,-0.57163
